2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: backbone_ir.res_layers.3.blocks.1.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: backbone_ir.res_layers.3.blocks.2.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: backbone_ir.res_layers.3.blocks.2.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: backbone_ir.res_layers.3.blocks.2.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.0.conv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.0.conv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.0.norm.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.0.norm.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.1.conv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.1.conv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.1.norm.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.1.norm.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.2.conv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.2.conv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.2.norm.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.convs.2.norm.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.extra_convs.0.conv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.extra_convs.0.conv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.extra_convs.0.norm.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck.extra_convs.0.norm.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck_ir.convs.0.conv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck_ir.convs.0.conv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck_ir.convs.0.norm.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,075 [INFO] engine.optim_wrapper: Param: neck_ir.convs.0.norm.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.convs.1.conv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.convs.1.conv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.convs.1.norm.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.convs.1.norm.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.convs.2.conv.weight, lr: 0.0001, weight_decay: 0.0001
